date,hour,ma_ck,title,weekday,title_new
2023-02-24,17.5,ABC,ABC: Miễn nhiệm bà Dương Thị Thương - Kế toán trưởng từ 24/02/2023,Friday,miễn_nhiệm dương thị_thương kế_toán_trưởng
2023-02-24,17.2,ABC,"ABC: 3.3.2023, ngày GDKHQ Tham dự Đại hội đồng cổ đông thường niên năm 2023",Friday,tham_dự đại_hội_đồng cổ_đông thường_niên
2023-02-20,15.3,ABC,ABC: Bổ nhiệm bà Hồ Thị Hà giữ chức người công bố thông tin từ 22/02/2023,Monday,bổ_nhiệm hồ thị hà giữ chức người công_bố thông_tin
2023-01-31,17.2,ABC,ABC: Báo cáo quản trị công ty năm 2022,Tuesday,báo_cáo quản_trị công_ty
2023-01-30,15.5,ACM,ACM: Đính chính Báo cáo quản trị công ty năm 2022,Monday,đính_chính báo_cáo quản_trị công_ty
2023-02-17,15.0,AGF,"AGF: 14.3.2023, ngày GDKHQ Tham dự đại hội đồng cổ đông thường niên năm 2023",Friday,tham_dự đại_hội_đồng cổ_đông thường_niên
2023-02-13,16.5,AGF,AGF: Nghị quyết HĐQT thống nhất tổ chức ĐHĐCĐ TN 2023,Monday,nghị_quyết hđqt thống_nhất tổ_chức đhđcđ
2023-02-10,14.4,AGF,AGF: Nghị quyết HĐQT v/v tổ chức ĐHĐCĐ TN 2023,Friday,nghị_quyết hđqt v v tổ_chức đhđcđ
2023-01-17,14.5,AGF,AGF: Báo cáo quản trị công ty năm 2022,Tuesday,báo_cáo quản_trị công_ty
2023-02-20,16.1,AMD,AMD: Nghị quyết HĐQT v/v triệu tập ĐHĐCĐ bất thường năm 2023,Monday,nghị_quyết hđqt v v triệu_tập đhđcđ bất_thường
2023-02-20,16.1,AMD,AMD: Ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ bất thường năm 2023,Monday,thực_hiện quyền tham_dự đhcđ bất_thường
2023-02-06,12.5,AMD,"Lỗ kỷ lục năm 2022, một doanh nghiệp “họ” FLC bất ngờ thông báo tìm được đơn vị kiểm toán cho BCTC bán niên",Monday,lỗ kỷ_lục doanh_nghiệp bất_ngờ thông_báo tìm được đơn_vị kiểm_toán bctc
2023-02-06,11.0,AMD,"AMD: Giải trình nguyên nhân, biện pháp khắc phục tình trạng cổ phiếu vào diện hạn chế giao dịch",Monday,giải_trình nguyên_nhân biện_pháp khắc_phục tình_trạng cổ_phiếu diện hạn_chế
2023-02-02,17.1,AMD,AMD: Ký hợp đồng kiểm toán,Thursday,ký hợp_đồng
2023-02-01,15.5,AMD,"Ông Trịnh Văn Quyết bị bắt khiến một DN họ FLC thất thoát 90% doanh thu, lỗ kỷ lục 127 tỷ trong quý 4",Wednesday,trịnh văn quyết bị bắt khiến dn thất_thoát doanh_thu lỗ kỷ_lục
2023-01-31,15.4,AMD,AMD: Báo cáo tình hình quản trị công ty năm 2022,Tuesday,báo_cáo tình_hình quản_trị công_ty
2023-01-09,15.2,AMD,AMD: Bổ nhiệm ông Nguyễn Công Tuấn giữ chức Phó Tổng Giám đốc từ 7.1.2023,Monday,bổ_nhiệm nguyễn công tuấn giữ chức tổng_giám_đốc
2023-01-19,16.5,AMP,AMP: Báo cáo quản trị công ty năm 2022,Thursday,báo_cáo quản_trị công_ty
2023-02-09,9.3,APT,APT: Thông báo hủy ủy quyền thực hiện công bố thông tin của ông Nguyễn Thành Vinh,Thursday,thông_báo hủy ủy_quyền thực_hiện công_bố thông_tin nguyễn_thành_vinh
2023-02-09,9.2,APT,APT: Thay đổi giấy đăng ký kinh doanh,Thursday,thay_đổi giấy đăng_ký
2023-01-31,18.1,APT,APT: Báo cáo quản trị công ty năm 2022,Tuesday,báo_cáo quản_trị công_ty
2023-01-19,16.5,APT,APT: Nghị quyết HĐQT phê duyệt kế hoạch SXKD năm 2023,Thursday,nghị_quyết hđqt phê_duyệt kế_hoạch sxkd
2023-01-19,16.4,APT,APT: Nghị quyết HĐQT v/v ký hợp đồng với Công ty Quản lý và Kinh doanh Chợ Bình Điền,Thursday,nghị_quyết hđqt v v ký hợp_đồng công_ty quản_lý kinh_doanh chợ
2023-01-19,16.4,APT,APT: Nghị quyết HĐQT v/v ký hợp đồng với Trung tâm phân phối SATRA,Thursday,nghị_quyết hđqt v v ký hợp_đồng trung_tâm phân_phối
2023-02-14,9.2,ASA,ASA: Quyết định về việc duy trì diện đình chỉ giao dịch,Tuesday,quyết_định việc duy_trì diện đình_chỉ
2023-01-31,14.3,AST,AST: Báo cáo tình hình quản trị công ty năm 2022,Tuesday,báo_cáo tình_hình quản_trị công_ty
2023-01-30,18.1,AST,"AST: Giải trình, báo cáo tình hình khắc phục tình trạng chứng khoán bị kiểm soát",Monday,giải_trình báo_cáo tình_hình khắc_phục tình_trạng chứng_khoán bị kiểm_soát
2023-01-30,18.0,AST,AST: Giải trình biến động KQKD quý 4/2022 so với cùng kỳ năm trước,Monday,giải_trình biến_động kqkd so cùng kỳ trước
2023-02-10,17.4,ATA,"ATA: 27.2.2023, ngày GDKHQ Tổ chức Đại hội đồng cổ đông thường niên năm 2023",Friday,tổ_chức đại_hội_đồng cổ_đông thường_niên
2023-02-02,9.2,ATA,ATA: Nghị quyết HĐQT v/v tổ chức ĐHĐCĐ TN 2023,Thursday,nghị_quyết hđqt v v tổ_chức đhđcđ
2023-01-09,11.1,ATA,ATA: Báo cáo quản trị công ty năm 2022,Monday,báo_cáo quản_trị công_ty
2023-02-01,16.1,ATB,ATB: Báo cáo quản trị công ty năm 2022,Wednesday,báo_cáo quản_trị công_ty
2023-01-16,11.2,ATG,ATG: Báo cáo quản trị công ty năm 2022,Monday,báo_cáo quản_trị công_ty
2023-01-10,17.3,ATG,ATG: Bổ nhiệm ông Nguyễn Thanh Tùng giữ chức Phụ trách kế toán từ 06/01/2023,Tuesday,bổ_nhiệm nguyễn thanh_tùng giữ chức phụ_trách kế_toán
2023-02-03,19.0,BHC,BHC: Báo cáo quản trị công ty năm 2022,Sunday,báo_cáo quản_trị công_ty
2023-02-23,14.0,BHT,BHT: Nghị quyết Đại hội đồng cổ đông thường niên năm 2023,Thursday,nghị_quyết đại_hội_đồng cổ_đông thường_niên
2023-02-13,14.1,BHT,BHT: Quyết định về việc đưa vào diện cảnh báo,Monday,quyết_định việc đưa diện
2023-02-13,14.1,BHT,BHT: Thông báo về trạng thái chứng khoán,Monday,thông_báo trạng_thái
2023-02-13,14.1,BHT,BHT: Quyết định về việc duy trì hạn chế giao dịch,Monday,quyết_định việc duy_trì hạn_chế
2023-02-02,10.0,BHT,BHT: CBTT Tài liệu họp Đại hội đồng cổ đông thường niên năm 2023,Thursday,cbtt tài_liệu họp đại_hội_đồng cổ_đông thường_niên
